0.000 0.000 17.099 0.486 180.000 0.000 0.251
0.500	0.720	17.098	0.486	177.600	2.400	0.252
1.000	1.430	17.096	0.486	175.300	4.700	0.254
1.500	2.150	17.094	0.486	172.900	7.100	0.256
2.000	2.870	17.090	0.486	170.600	9.400	0.260
2.500	3.590	17.084	0.486	168.300	11.700	0.266
3.000	4.300	17.078	0.486	166.100	13.900	0.272
3.500	5.020	17.071	0.486	164.000	16.000	0.279
4.000	5.740	17.062	0.486	161.900	18.100	0.288
4.500	6.460	17.053	0.487	159.900	20.100	0.297
5.000	7.170	17.042	0.487	158.000	22.000	0.308
5.500	7.890	17.030	0.487	156.200	23.800	0.320
6.000	8.610	17.017	0.488	154.400	25.600	0.333
6.500	9.320	17.003	0.488	152.700	27.300	0.347
7.000	10.040	16.988	0.488	151.100	28.900	0.362
7.500	10.750	16.972	0.489	149.600	30.400	0.378
8.000	11.470	16.954	0.489	148.200	31.800	0.396
8.500	12.190	16.936	0.489	146.900	33.100	0.414
9.000	12.900	16.916	0.490	145.600	34.400	0.434
9.500	13.620	16.896	0.490	144.400	35.600	0.454
10.000	14.330	16.874	0.491	143.300	36.700	0.476
10.500	15.050	16.851	0.491	142.300	37.700	0.499
11.000	15.760	16.827	0.492	141.300	38.700	0.523
11.500	16.470	16.802	0.492	140.300	39.700	0.548
12.000	17.190	16.776	0.493	139.500	40.500	0.574
12.500	17.900	16.749	0.494	138.700	41.300	0.601
13.000	18.620	16.721	0.494	137.900	42.100	0.629
13.500	19.330	16.692	0.495	137.200	42.800	0.658
14.000	20.040	16.662	0.496	136.500	43.500	0.688
14.500	20.750	16.630	0.496	135.900	44.100	0.720
15.000	21.460	16.598	0.497	135.400	44.600	0.752
15.500	22.170	16.565	0.498	134.800	45.200	0.785
16.000	22.890	16.530	0.499	134.300	45.700	0.820
16.500	23.600	16.495	0.500	133.900	46.100	0.855
17.000	24.310	16.459	0.501	133.400	46.600	0.891
17.500	25.020	16.422	0.501	133.000	47.000	0.928
18.000	25.720	16.383	0.502	132.700	47.300	0.967
18.500	26.430	16.344	0.503	132.300	47.700	1.006
19.000	27.140	16.304	0.504	132.000	48.000	1.046
19.500	27.850	16.263	0.505	131.800	48.200	1.087
20.000	28.550	16.221	0.506	131.500	48.500	1.129
20.500	29.260	16.178	0.507	131.300	48.700	1.172
21.000	29.970	16.134	0.509	131.000	49.000	1.216
21.500	30.670	16.089	0.510	130.800	49.200	1.261
22.000	31.380	16.043	0.511	130.700	49.300	1.307
22.500	32.080	15.997	0.512	130.500	49.500	1.353
23.000	32.780	15.949	0.513	130.400	49.600	1.401
23.500	33.490	15.901	0.514	130.300	49.700	1.449
